날짜,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
20160511,29,13,0.034,0.027,0.4,0.004
20160512,29,15,0.035,0.03,0.4,0.005
20160513,39,21,0.043,0.024,0.5,0.004
20160514,34,18,0.039,0.03,0.5,0.005
20160515,33,19,0.039,0.02,0.4,0.004
20160516,35,17,0.042,0.021,0.5,0.005
20160517,67,37,0.041,0.041,0.6,0.008
20160518,51,28,0.033,0.045,0.6,0.006
20160519,39,20,0.033,0.041,0.5,0.004
20160520,52,30,0.041,0.048,0.5,0.005
20160521,38,25,0.042,0.036,0.4,0.004
20160522,55,38,0.053,0.033,0.5,0.005
20160523,68,45,0.047,0.041,0.5,0.006
20160524,33,23,0.042,0.023,0.4,0.004
20160525,90,61,0.053,0.024,0.5,0.005
20160526,106,71,0.038,0.038,0.7,0.006
20160527,91,54,0.037,0.038,0.6,0.005
20160528,77,39,0.039,0.037,0.5,0.006
20160529,82,42,0.045,0.032,0.6,0.007
20160530,92,54,0.052,0.032,0.6,0.006
20160531,78,46,0.044,0.028,0.5,0.006
20160601,41,22,0.039,0.025,0.4,0.004
20160602,36,18,0.039,0.031,0.4,0.005
20160603,46,25,0.043,0.034,0.4,0.005
20160604,52,28,0.033,0.036,0.5,0.004
20160605,50,28,0.047,0.028,0.4,0.004
20160606,22,13,0.044,0.018,0.3,0.004
20160607,42,26,0.033,0.029,0.4,0.005
20160608,38,24,0.027,0.028,0.4,0.004
20160609,53,31,0.028,0.034,0.4,0.005
20160610,60,36,0.034,0.039,0.5,0.006
20160611,48,31,0.026,0.023,0.4,0.005
20160612,30,20,0.024,0.016,0.3,0.004
20160613,63,36,0.031,0.028,0.5,0.004
20160614,51,31,0.035,0.033,0.5,0.005
20160615,36,23,0.029,0.024,0.4,0.004
20160616,31,19,0.043,0.019,0.4,0.004
20160617,54,36,0.054,0.025,0.5,0.005
20160618,66,45,0.048,0.031,0.6,0.005
20160619,40,28,0.035,0.024,0.5,0.004
20160620,52,35,0.043,0.03,0.5,0.005
